site,AUM,slope,aspect,insolation,elev,BD,Sand,Rock,BNPP,Root.N,Root.C,Root.CN,ANPP,Shoot.C,Shoot.N,Shoot.CN,POM.N,POM.C,POM.CN,MAOM.N,MAOM.C,MAOM.CN,BNPP.Mgha,ANPP.Mgha,POM.Mgha,MAOM.Mgha,POM.MAOM
C111,0.850444086,67,225,0.157446809,279,1.1872,41.2,22.93746279,0.005210094,0.997093081,34.01026535,34.10941865,0.5316,40.38829,2.288855,17.64563068,0.157931224,2.448122501,15.50119379,0.219546571,2.360300303,10.75079555,1.771966711,21.47041496,11.97441346,16.47663329,0.726751227
C111E,0.850444086,24,270,0.821276596,225,1.442408163,42.8,11.54340862,0.011233408,1.217430949,34.40610123,28.26123424,0.402933333,40.65044,2.282857,17.80682715,0.171060279,2.898800135,16.94607393,0.185679242,2.321169376,12.50096323,3.864977743,16.37941729,17.89576275,19.15098132,0.934456697
C111N,0.850444086,29,270,0.868085106,321,1.2496875,38.4,18.57399771,0.011215128,1.13041544,36.54534149,32.32912451,0.3768,40.35187,2.377161,16.97481576,0.200363338,3.38086319,16.87366174,0.254189998,3.008078814,11.83397788,4.098606909,15.20458462,16.22408627,23.15641631,0.700630273
C121,2.213741039,70,225,0.429787234,329,1.325346939,42.2,11.26175604,0.007484086,1.03603828,36.72714615,35.44960343,0.531866667,40.54736,2.279642,17.78672265,0.111037076,1.501123667,13.51912107,0.164523691,1.672247291,10.1641732,2.748691081,21.56578921,8.39573075,12.81025924,0.655391167
F112,4.14877022,72,315,0.953191489,356,1.655724138,45.2,19.23242405,0.005282462,0.937072933,36.62697601,39.08657985,0.436,40.29912,2.250746,17.90478357,0.203130499,2.951473713,14.5299388,0.194018826,2.300486803,11.85702878,1.934805964,17.57041632,22.08845474,20.87316398,1.058222642
F113,3.994858871,23,45,0.706382979,327,1.811967213,36.2,20.18052161,0.006579016,1.153179884,34.12121582,29.58880596,0.492,40.36786,2.406816,16.77230831,0.38712886,5.161841393,13.33365173,0.268375903,3.02573204,11.27423141,2.244840219,19.86098712,33.85817625,34.97852387,0.967970415
F114,3.903129582,74,45,0.289361702,345,1.721658537,50.9,21.89326531,0.011209593,1.17990005,38.07767105,32.27194629,0.244266667,40.20102,2.313094,17.37976062,0.176627964,2.637443066,14.93219425,0.217586413,2.230300665,10.25018352,4.268352047,9.819769152,23.11255172,18.85349744,1.22590261
F122,5.234712894,23,315,1,345,1.36424,41,33.91300745,0.003543874,1.161877155,34.26947784,29.49492353,0.378266667,40.37535,2.318756,17.41250481,0.197358713,2.569969654,13.02182012,0.178314149,1.81217432,10.16281841,1.214466969,15.27264906,14.37482714,14.5862201,0.985507352
F132,5.460932379,16,180,0.561702128,305,1.39937931,41.5,34.4035155,0.003943428,1.099896669,36.09476089,32.81650168,0.445733333,40.42639,2.365139,17.0926064,0.177596763,2.238919735,12.60675983,0.193737537,1.891525507,9.763340339,1.423370827,18.01938957,13.00235651,15.48472571,0.839689172
F134,3.602043622,3,225,0.719148936,299,1.464193548,43.6,28.32939765,0.006576838,1.019115686,37.32090378,36.6208707,0.494533333,39.87696,2.345086,17.00447659,0.169392705,2.563414574,15.13296912,0.234372437,2.647968054,11.29812058,2.454535383,19.72048595,16.36454095,21.86705686,0.748365043
F141,6.743289345,4,225,0.765957447,265,1.4605,44.6,47.55870735,0.006653428,0.994506061,35.09989929,35.29380128,0.232133333,40.43239,2.331889,17.33889992,0.142259613,1.942280412,13.65306973,0.174482107,1.83107543,10.49434501,2.335346648,9.385705465,12.65168441,14.81554259,0.853946748
F142,5.773939394,11,225,0.795744681,204,1.074666667,35,17.89431011,0.006251787,1.137367725,37.59078598,33.05068813,0.5732,40.55904,2.293114,17.68731951,0.228953168,3.256711483,14.22435651,0.2244789,2.494531155,11.11254176,2.350095987,23.24844173,12.24957746,17.42513163,0.702983353
F144,4.578815926,3,225,0.765957447,249,1.411736842,34.4,22.64047833,0.004166655,0.885335922,37.15800858,41.97051949,0.535333333,40.23339,2.243472,17.93353784,0.164845601,2.422932148,14.69819114,0.159571707,1.957971573,12.27016748,1.548246019,21.53827478,11.76666647,18.13276237,0.648917481
F151,1.864070563,3,315,0.765957447,228,1.67347619,39.3,45.624053,0.004092775,0.973173201,35.03789902,36.00376478,0.370666667,40.38719,2.417867,16.70364416,0.1208122,2.128485918,17.61813722,0.196738675,2.438749075,12.39588033,1.434022465,14.97018509,13.99854409,24.77281426,0.56507686
F161,1.507733156,0,0,0.765957447,313,1.175684211,46.8,16.78769857,0.012319265,1.041505098,36.34845352,34.89992855,0.505333333,40.54644,2.311259,17.54301011,0.216998249,2.90499258,13.38717059,0.20567593,1.96956265,9.576048358,4.477862425,20.48946768,15.98385629,12.31890533,1.29750622
F2,0.407659925,15,180,0.65106383,298,1.368051282,35,14.71072382,0.006530422,0.917438626,37.46387482,40.83529268,0.273733333,40.32743,2.293972,17.57973942,0.250730813,3.518784761,14.03411382,0.217180938,2.421169996,11.14816993,2.446549041,11.03896184,16.84857301,21.52985066,0.782568039
H7,3.478604457,70,270,0.927659574,143,1.569906977,36.4,6.257187945,0.004088656,1.21501267,36.47052002,30.0165759,0.291733333,40.41221,2.457358,16.44538972,0.197684884,2.970752478,15.02771692,0.206280529,2.41280055,11.69669555,1.49115402,11.78958873,16.97625035,24.09086858,0.704675728
H9,2.313028423,3,135,0.719148936,200,1.764461538,33.4,17.57795211,0.013206035,0.975475609,36.80538559,37.73070822,0.307866667,40.48502,2.333014,17.35309775,0.14677234,2.212717772,15.07584993,0.166869253,1.854838371,11.11551912,4.860532213,12.46398816,13.04021305,21.79678783,0.598263063
K111A,0.249991718,81,45,0,483,1.422622951,23.5,28.35603969,0.006872943,1.177885175,33.55387497,28.48654155,0.2612,40.21517,2.41276,16.66770421,0.197607279,2.737179995,13.85161524,0.178489625,1.976966619,11.076087,2.3061388,10.5042024,9.15084144,21.51545736,0.425314753
K111C,0.249991718,7,45,0.765957447,451,1.599106383,37.8,29.42098787,0.005309808,1.070539832,32.64725113,30.4960639,0.1948,40.13152,2.523475,15.90327624,0.109237812,1.813500881,16.60140239,0.150803611,1.800962925,11.94243902,1.733506237,7.817620096,10.96192756,17.91317274,0.611947851
K111E,0.249991718,0,0,0.765957447,362,1.6026875,29.7,47.78831446,0.004790791,1.077813625,36.5855484,33.94422518,0.084266667,40.45413,2.249537,17.9833139,0.113119714,1.714747071,15.15869349,0.136576697,1.536767244,11.25204574,1.752737102,3.408934688,8.162164979,17.3145923,0.471403822
K111F,0.249991718,0,0,0.765957447,348,1.375283019,37.6,7.427171086,0.009301626,0.712504983,34.68742752,48.68376833,0.2448,40.00489,2.517301,15.89197716,0.14751856,2.247421503,15.23483892,0.176089451,1.869871855,10.61887494,3.226494865,9.793197072,11.62156077,16.04680278,0.724229052
K111G,0.249991718,70,45,0.353191489,387,1.671418182,44.5,26.80413597,0.004473148,1.018249273,34.27907181,33.66471522,0.119333333,40.15083,2.475292,16.22064387,0.166627496,2.350857496,14.10846076,0.181356832,1.888142347,10.41120052,1.533353735,4.79133238,17.48523353,17.51510874,0.998294318
K111H,0.249991718,78,45,0,357,1.05572549,27.7,29.20701208,0.012811697,0.951623261,36.65718079,38.52068596,0.768533333,40.39591,2.302882,17.54145892,0.463412762,6.452676296,13.92425248,0.247193798,2.719451904,11.00129502,4.696406787,31.04560337,18.86994592,20.75729164,0.909075531
K121N,0,10,45,0.753191489,495,1.229535714,41.7,29.32353812,0.006007322,0.919629335,33.49007797,36.41693091,0.12,39.99778,2.408698,16.60556035,0.110360086,1.898725271,17.2048187,0.195539594,2.25825119,11.54881806,2.011856863,4.7997336,9.735075721,16.18758086,0.601391635
K121S,0,10,135,0.621276596,506,1.337352113,29.7,31.46857915,0.005065581,1.088332772,37.51078415,34.46628192,0.3216,40.15898,2.56212,15.67412143,0.121702217,1.926422358,15.82898333,0.17259787,1.932298064,11.19537606,1.900139026,12.91512797,7.651625879,18.16666518,0.42119045
L111,0.729753157,78,225,0.29787234,210,1.40187234,36.4,23.52370536,0.002846644,0.958920777,33.80486679,35.25303404,0.3044,40.52819,2.562544,15.81560746,0.08771459,1.228484631,14.0054765,0.15645951,1.554256558,9.933921915,0.96230422,12.33678104,6.268730192,13.85760862,0.452367386
L111B,0.729753157,0,90,0.765957447,437,1.532509091,43.2,20.77931673,0.013700475,0.847765446,36.95278931,43.58845892,0.1084,40.25966,2.246344,17.92230397,0.073365137,1.020301938,13.9071769,0.096786067,1.043768644,10.78428619,5.062707608,4.364147144,6.754847021,9.085642438,0.743463885
L111D,0.729753157,0,0,0.765957447,427,1.948666667,40.8,26.17722609,0.002656224,1.251839161,34.80804825,27.80552753,0.1364,40.18646,2.202117,18.2490122,0.137756884,2.108885765,15.30875048,0.165524796,1.812881708,10.95232712,0.924579834,5.481433144,16.76682281,20.91359676,0.801718757
L111E,0.729753157,80,90,0,478,1.540470588,39.5,20.96927909,0.005669488,1.20650363,36.46066284,30.22010207,0.091733333,39.81543,2.513709,15.83931553,0.176383108,3.056725264,17.33003404,0.172449499,1.939237475,11.24524851,2.067132904,3.652402112,18.59974169,18.07339668,1.029122639
L111N,0.729753157,40,90,0.272340426,443,1.656837209,36.6,13.82401425,0.010658984,0.887241185,34.19958496,38.54598451,0.6436,40.11534,2.273251,17.6466831,0.168570638,2.476778507,14.69282279,0.200757131,2.099777937,10.45929441,3.645328327,25.81823282,15.01924477,22.05679798,0.680934957
L111S,0.729753157,83,225,0.195744681,298,1.600245614,36.7,23.76984086,0.009080663,1.219534516,36.04612732,29.5572834,0.395333333,40.29307,2.112754,19.07134953,0.195143461,2.91863966,14.95637948,0.197304949,2.091769934,10.60171041,3.27322734,15.92919367,17.14088295,21.18869804,0.808963482
L121,0.729753157,79,180,0,412,1.528341463,37.8,11.36148661,0.004886037,1.063641906,35.75952911,33.61989493,0.185333333,40.3332,2.323273,17.36050821,0.166273519,2.392346621,14.38801939,0.173874155,1.854723692,10.66704649,1.74722394,7.4750864,13.82089918,17.63152998,0.783874071
L121C,0.729753157,84,180,0,440,1.475850746,41.4,25.2486198,0.002771525,1.118566513,35.72571564,31.93883888,0.110133333,40.03267,2.356703,16.9867268,0.166440442,2.80011344,16.82351598,0.187104434,2.153436661,11.50927649,0.990147062,4.408931389,17.10875497,18.62396546,0.918641897
L121N,0.729753157,81,135,0,416,1.682779661,43.1,12.59747522,0.025938969,1.103690863,32.79475784,29.7137169,0.280933333,40.24907,2.309523,17.42743848,0.473133922,7.667734623,16.20626692,0.272654504,3.36823678,12.35349769,8.506622052,11.3073054,55.61239492,32.25092198,1.724366049
P111,6.804975385,55,270,0.69787234,207,1.635269231,46.7,26.34229662,0.005794431,0.912289798,35.16524506,38.54613427,0.323733333,40.23079,2.236179,17.99086299,0.193518087,2.66605854,13.77679254,0.207271323,2.196173668,10.59564652,2.037625965,13.02404775,20.35990874,19.14181675,1.06363513
P112,6.066524482,54,180,0.131914894,201,1.46375,38.8,16.7395214,0.005363728,0.910566092,38.25415802,42.01140189,0.3392,40.40132,1.97518,20.45450035,0.150521368,2.141620636,14.22801737,0.141685337,1.678961039,11.84992799,2.051848919,13.70412774,12.16301316,15.04038483,0.808690289
P113,3.331503921,46,135,0,200,1.405136364,43.4,14.27449861,0.00985739,0.916023314,37.48596954,40.92250598,0.5308,40.37557,2.306871,17.50230941,0.14131394,2.156015158,15.25691771,0.161956668,1.767791152,10.91521069,3.695138203,21.43135256,13.1480096,14.05936999,0.935177722
P114,3.331503921,46,225,0.659574468,260,1.664636364,40.8,37.09393874,0.007203783,1.177336335,33.51691055,28.46842449,0.4844,40.66229,2.467862,16.47672763,0.22855781,3.107428074,13.59580787,0.190029129,1.974841475,10.39230923,2.414485649,19.69681328,21.1047701,19.46136616,1.084444428
P121,3.659446559,31,225,0.621276596,237,1.746222222,53.8,28.26066231,0.010739536,1.222092867,36.7524147,30.07334033,0.428533333,40.31034,2.420531,16.65351115,0.171257138,2.480787277,14.48574525,0.24624455,2.561144114,10.40081543,3.947038651,17.27432437,23.30619159,20.66214966,1.127965482
P131,5.059656891,55,225,0.540425532,174,1.40706383,37.6,25.1859201,0.007639172,1.078156114,36.04150772,33.42883954,0.646,40.44042,2.401485,16.8397554,0.168234259,2.308214426,13.72024011,0.173085973,1.836021423,10.60756915,2.753272851,26.12451132,12.21174691,16.12041185,0.757533184
P221,5.169869816,69,180,0,131,1.614,33.5,4.953902171,0.007329232,0.817465127,32.36244202,39.58877384,0.721333333,40.41943,2.398286,16.85346535,0.13869974,2.131961823,15.37105852,0.150359526,1.879801273,12.50204307,2.371918582,29.15588217,11.52730438,20.17609505,0.571334758
SC12,1.028790135,6.7,315,0.85106383,322,1.921210526,45.9,26.46265955,0.007924052,0.98039782,33.2397995,33.90439963,0.2544,40.31066,2.072588,19.4494323,0.101947822,1.587903738,15.57565146,0.277011633,3.204468489,11.56799249,2.633938904,10.2550319,14.00270096,33.30644098,0.420420211
SC14,1.350392328,7.5,90,0.668085106,290,1.520690909,48.6,16.52398744,0.007239684,1.028931141,35.16402054,34.1752904,0.389066667,40.39017,2.377116,16.99124906,0.087552577,1.217935681,13.9109061,0.192192644,1.98880887,10.34799683,2.545763951,15.71446881,9.001224072,15.54522874,0.57903452
SH111,1.077246518,39,225,0.765957447,335,2.022941176,40.3,16.12743278,0.009008206,1.0188241,36.15100479,35.48306795,0.199866667,40.26363,2.037429,19.76197944,0.194550246,2.750100374,14.13568181,0.202993974,2.017504454,9.938740609,3.256556959,8.047357516,22.42006388,24.36531821,0.920162983
SH121,1.158411845,9,180,0.663829787,206,1.267736842,25.8,36.42650304,0.018380534,1.081052184,36.51776123,33.77983206,1.037333333,40.01441,2.154009,18.5767144,0.196817607,2.723098278,13.83564369,0.218131691,2.181483984,10.00076592,6.712159595,41.50828131,8.90660379,20.52036332,0.434037334
SH131,1.077246518,3,225,0.765957447,193,1.422097561,44.1,2.696015491,0.007461871,1.098495364,34.22123337,31.15282457,0.483733333,40.01954,2.373752,16.85919169,0.24027583,3.295825005,13.71683953,0.195218056,1.969323754,10.0878156,2.553544187,19.35878548,20.66960253,15.65518914,1.320303597
SH141,0.290791663,62,45,0.468085106,333,1.222689655,36.5,31.32355161,0.004734251,0.955251276,33.39946747,34.96406473,0.266266667,40.51159,2.401714,16.86778276,0.15036653,2.195588112,14.60157466,0.164967805,1.901169538,11.52448829,1.581214782,10.78688603,9.798508481,14.76083108,0.663818211
USC14,5.498125,74,225,0.2,358,1.746097561,41.3,9.842636652,0.015500864,1.075786114,35.07001877,32.59943433,0.414666667,40.28118,2.499548,16.11538566,0.141847774,2.036904812,14.35979395,0.207494006,2.146849155,10.34655989,5.436155862,16.70326264,14.68890058,22.00432939,0.667545932
