Site046,Astragalus_macrosemius,sample,cushion.open,Acantholimon_brachystachyum,Allium_tuchalense,Alopecurus_textilis,Arenaria_insignis,Asperula_glomerata,Astragalus_capito,Bromus_tomentosus,Campanula_ruprechtii,Catabrosella_parviflora,Crepis_heterotricha,Draba_pulchella,Elymus_longaristatus,Festuca_alaica,Galium_decumbens,Helichrysum_psychrophilum,Jurinella_frigida,Oxytropis_persicus,Physoptychis_gnaphalodes,Piptatherum_laterale,Poa_araratica,Polygonum_molliaeforme,Scorzonera_meyeri,Trachydium_depressum,Veronica_kurdica,Ziziphora_clinopodioides
,,1,cushion,1,,,,,,3,19,,,5,,,,,,,,,2,,,,,
,,2,cushion,1,,,,,,1,5,,,,,,1,,,,,,2,,,1,,
,,3,cushion,,,,1,,,,,,,,,,,,1,,,,1,,,,,
,,4,cushion,1,,,5,1,,,,,,2,,,,,,,,,2,,,,,
,,5,cushion,1,,,,,,,,,,,1,,,,2,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,1,,1,,,,,,,
,,7,cushion,,,,,,,,2,,,,3,,,,5,,,,,,,,,
,,8,cushion,1,,,,,,,,,,,1,,,,,,1,,,,,,,
,,9,cushion,,,,,,,,,,,,2,,,,,,1,,1,,,,,
,,10,cushion,3,2,,,,,,,,,,2,,,,,,,,2,,,,,
,,11,cushion,1,,,,,,,,,,,,,,,17,,,,4,,,,,
,,12,cushion,,,,,3,,,,,,1,,,,,,,,,5,,,,,
,,13,cushion,1,,,,,,3,,,,,,,,,,,,,,,,,,
,,14,cushion,1,,,1,,,,,,,,,,,,,,,,,,,,,
,,15,cushion,,2,,,,,,4,,,,,,,,,,,,,,,,,
,,16,cushion,,,2,,,,,,,,,,,,,,,,,3,,,,,
,,17,cushion,1,,4,,,,,,,,,,1,,,,,,,,,,,,
,,18,cushion,2,,,,,,,,,,4,,1,,,,,,,1,,,,,
,,19,cushion,,,,1,,,,,,,,,,,,,,2,,,,,,,
,,20,cushion,1,,,,,,1,,,,,1,1,,,,,,,,,,,,
,,21,cushion,,,,,,,,,,,,,,,,,,1,,,,,,,
,,22,cushion,,,,,,,,,,,,3,,,,,,5,,,,,,,
,,23,cushion,,,,,,,,,,,,3,,,,,,5,,,,,,,
,,24,cushion,,,,,,,,,,,,,,,,,,2,,1,,,1,,
,,25,cushion,,,,,,,,,,,,1,,,,10,,1,,3,,,,,
,,26,cushion,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,27,cushion,3,,,6,1,,1,10,,,5,,,,,6,,,,4,,,,,
,,28,cushion,1,,,,,,,,,,,4,,,,,,,,,,,,,
,,29,cushion,1,,,1,,,,,,,,1,,,,,,,,,,,1,,
,,30,cushion,,,,3,,,,,,,,2,,,,,,,,3,,,,,
,,31,cushion,,,,3,,,1,1,,,3,,,,,,,1,,,,,10,,
,,32,cushion,,,,1,,,5,,,7,5,,1,,,,,3,,,,,,,2
,,33,cushion,2,,,3,,,1,,,1,2,3,1,,,,,,,,,,1,,6
,,34,cushion,,,,2,,,,8,,,12,2,,,,,,,,,,,,,
,,35,cushion,,,,,3,,7,3,,,17,1,4,,,,,1,,,,,1,,2
,,36,cushion,,,1,,,,5,6,,,,,2,,,,,,,,,,5,,4
,,37,cushion,,,,,,,1,10,,,14,3,1,,,,,1,,,,,,,1
,,38,cushion,,,,,,,4,23,,,7,,2,,,,,,,,,,,,5
,,39,cushion,,,,,,,1,,,,,4,,,,,,3,,,,,,,
,,40,cushion,,,,,,,,,,,36,1,,,,,,2,,,,,,,
,,41,cushion,,,,,1,,2,9,,,2,,4,,2,,,2,,,,,,,
,,42,cushion,,,,,1,,3,18,,,,,4,,,,,,,,,,,4,
,,43,cushion,1,,,,,,2,8,,,5,,4,,,,,,,,,,,,
,,44,cushion,,,,1,,,4,,,,5,,2,,,,,,2,,,,,,
,,45,cushion,,,,7,,,2,,,,5,,,,,,,,1,,,,,,
,,46,cushion,,,,2,1,,4,,,,2,,,,,,,2,,,,,,,
,,47,cushion,,,,6,,,2,,,,4,,2,,,,,,,,,,,,
,,48,cushion,,,,1,3,,1,,,,8,,5,,,,,,,1,,,1,,
,,49,cushion,,3,,,,,2,16,,,5,,2,,,,,,,,,,1,,
,,50,cushion,,,,,,,,,,,8,,2,,,,,,,,,,1,,
,,51,cushion,,,,,2,,,,,,20,1,2,,,,,1,,1,,1,,,
,,52,cushion,1,20,,2,2,,,7,,,15,4,,,,,,,3,3,,,,,
,,53,cushion,1,,,3,2,,3,,,,9,1,1,,,,,2,,1,,,,,
,,54,cushion,1,,,4,,,1,,,,,,1,,,,,,,1,,,,,
,,55,cushion,1,,,,,,,,,,,,,,,,,,,,,,,,
,,56,cushion,,,,,,,,,,,,3,,,,,,1,,,,,,,
,,57,cushion,1,,,,,,1,,,,,,,,,,,,,,,,,,
,,58,cushion,1,,,,,,1,,,,,2,,,,,,,,,,,,,
,,59,cushion,1,,,,,,1,,,,6,,1,,,,,,,,,,,,
,,60,cushion,1,,,1,,,,,,,,1,2,,,,,,,,32,,,,
,,61,cushion,1,,,,1,,2,16,2,,6,,4,,,,,,,,,,,,
,,62,cushion,2,1,,1,1,,4,25,,,3,,4,,,,,,,,,,,,
,,63,cushion,1,9,,,,,,,,,18,,4,,,,,,,,45,,,,
,,64,cushion,,,2,,,4,,,,,12,1,,,,,,,,,27,,,,
,,65,cushion,1,,,1,2,,,,,,11,1,,,,,,,,,6,,,,
,,66,cushion,1,,,,,,,,,,,2,,,,,,,,1,,,,,
,,67,cushion,3,,,2,1,,,,,,,2,,,,,,1,,,,,,,
,,68,cushion,2,,,1,1,1,2,,,,7,3,,,,,,,,,6,,,,
,,69,cushion,2,,,3,3,,,10,,,5,3,,,,11,,,,4,,,,,
,,70,cushion,1,,,,,,,,,,,1,,,,,,,,,,,,,
,,71,cushion,4,,,2,,,,,,,,3,,,,,,2,,,,,,,
,,72,cushion,,,,,,,,,,,3,1,,,,,,,,,,,,,
,,73,cushion,9,,,,,,1,,,,9,6,7,,,,,,,3,,,,,
,,74,cushion,3,,,,,,,,,,1,3,,,,1,,3,,,,,,,
,,75,cushion,,,,1,1,,,,,1,5,2,,,,,,1,,,,,,,
,,76,cushion,2,,,3,1,,,,,,,,,,,,,,,3,,,,,
,,77,cushion,1,,,,,,,,,7,,2,,,,2,,2,,,,,,,
,,78,cushion,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,cushion,2,,,2,,,,,,,,2,,,,2,,,,2,22,,,,
,,80,cushion,3,,,,1,,,,,,,,,,,,,,,,,,,,
,,1,open,,,1,,,,,,,,1,,1,,,,,,,1,,,,,
,,2,open,1,,,,1,,,,,,,,,,,,,,,,5,,,,
,,3,open,,,,,,,1,,,,,,,,,2,,,,1,,,,,
,,4,open,,,,3,,,,,,,,,,,,1,,,,,,,,,
,,5,open,,,,,,,1,3,,,,,,,,3,,,,,,,,,
,,6,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,2,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,2,,,,,,,,,,,,,
,,10,open,,,,,1,,,,,,,2,,,,,,,,,,,,,
,,11,open,,,3,,1,,,,,,,,,,,13,,,,,,,,,
,,12,open,,,1,,,,,,,,1,,,,,2,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,1,,,,,,,,,,,,,,,,1,,,,,
,,16,open,,,,,1,,1,4,1,,,,,,,,,,,,,,,,
,,17,open,,1,,,1,,,11,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,1,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,1,,,,,,,,,1,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,1,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,1,,,,11,,,,,,,,,
,,26,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,1,,,,3,,1,,,,,,,
,,28,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,29,open,,,,1,,,,,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open ,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,3,,,,,,1,,,,,,,,,,1,,,,,2
,,33,open,,,,,,,3,,,,3,,,,,,,,,,,,,,
,,34,open,,,,,,,,1,,,,1,,,,,,,,,,,,,
,,35,open,1,,1,,,,5,7,,,8,,,,,,,,,,,,,,
,,36,open,,,2,,,,2,,,,,,,,,,,,,,,,,,1
,,37,open,,,,,,,2,,,,,,1,,,,,1,,,,,,,2
,,38,open,,,,,,,2,,,,,,,,,,,2,,,,,,,
,,39,open,,,,,2,,3,,,,4,,5,,,,5,,,,,,,,4
,,40,open,,,,,,,2,,,,4,,,,,,,1,,,,,,,
,,41,open,,,,,1,,2,8,,,,,2,,2,,,,,,,,,,
,,42,open,,,,,,,,6,,,3,,4,,,,,,,,,,,,
,,43,open,,,,,,,1,16,,,,,4,,,,,,1,,,,,,1
,,44,open,,,,2,,,1,,,,7,,3,,,,,,1,,,,,,
,,45,open,,,,7,,,,,,,1,,,,,,,,,,,,,,
,,46,open,,,,6,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,7,,,,,,,5,,5,,,,,,,,,,,,
,,48,open,,,,,,,,12,,,4,3,,,,,,,,,,,4,,
,,49,open,,,,2,2,,,2,,,15,,3,,,,,,,,,,,,4
,,50,open,,,2,1,,,,,,,1,,,,,,,,,,,,,,
,,51,open,,,,1,1,,,,,,8,7,,,,,,,,1,,,,,
,,52,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,53,open,,,,1,,,,,,,2,3,2,,,,,,,3,,,,,2
,,54,open,,,,,,,,,,,,,1,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,2,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,4,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,2,,,,,,,,,,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,65,,,,
,,61,open,1,6,,,,,,,,,2,,,,,,,,,,5,,,,
,,62,open,,6,,3,,,,5,,,5,,3,,,,,,,,,,,,
,,63,open,,,,,,,1,,,,1,,3,,,,,,,,123,,,,
,,64,open,,,,,,4,,,,,,,,,,,,,,1,116,,,,
,,65,open,1,,,,,3,,,,,7,1,,,,,,,,,,,,,
,,66,open,,,,,,,1,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,68,open,1,,,,,2,,,,1,,,,,,,,2,,,,,,,
,,69,open,,,,2,2,3,,1,,,,,,,,5,,,,6,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,1,,,,,,,1,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,1,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,2,,,,,,,,,,,,,
,,74,open,,,,1,,,,,,,,,,,,,,,,2,,,,,
,,75,open,1,,,2,1,1,,,,,,,,,,,,1,,,,,,,
,,76,open,,,,1,1,,,,,1,,,,,,,,,,1,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,open,,,,2,1,,,,,,,,,,,2,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,
